CODE ISIN,Code Maroclear,OPCVM,Société de Gestion,Nature juridique,Classification,Sensibilité,Indice Bentchmark,Périodicité VL,Souscripteurs,Affectation des résultats,Commission de souscription,Commission de rachat,Frais de gestion,Dépositaire,Réseau placeur,AN,VL,YTD,1 jour,1 semaine,1 mois,3 mois,6 mois,1 an,2 ans,3 ans,5 ans,DatePublication,TypePublication
MA0000039141,3914,AD SELECT BANQUES,AD CAPITAL ASSET MANAGEMENT,FCP,OCT,"]0,5 1,1]",MBI CT,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.03,0.02,CFG BANK,AD CAPITAL ASSET MANAGEMENT; AD CAPITAL GROUP,1843126085.27,1147.1,0.014226,0.000323,0.000593,0.002543,0.009407,0.014774,0.029907,0.074708,0.120653,-,2026-06-29,Quotidienne
MA0000039166,3916,CAPITAL TRUST PATRIMOINE,CAPITAL TRUST GESTION,FCP,DIVERSIFIÉ,-,25% MASI + 30% MBI GLOBAL + 45% MBI MLT,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.015,0.02,BCP,CAPITAL TRUST GESTION,738011366.23,1319.84,-0.044729,0.000174,-0.012613,-0.020338,0.007681,-0.057021,-0.027606,-,-,-,2026-06-29,Quotidienne
MA0000039174,3917,CAPITAL TRUST HORIZON,CAPITAL TRUST GESTION,FCP,OMLT,]3   7],MBI GLOBAL,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.015,0.02,BCP,CAPITAL TRUST GESTION,1070855.0,1070.86,0.00422,0.000729,0.001206,0.001431,0.012729,0.004069,0.009845,0.059596,0.107863,-,2026-06-29,Quotidienne
MA0000039216,3921,FCP CAPITAL ISR,BMCE CAPITAL GESTION,FCP,DIVERSIFIÉ,-,75% MBI GLOBAL + 25% MASI ESG,QUOTIDIENNE,FGP,CAPITALISANT,0.02,0.01,0.02,BANK OF AFRICA,BMCE CAPITAL GESTION,795606546.59,1440.16,-0.045632,0.002032,-0.002922,-0.018303,-0.000187,-0.058436,-0.059088,-,-,-,2026-06-29,Quotidienne
MA0000039232,3923,CAPITAL RENDEMENT PLUS,BMCE CAPITAL GESTION,FCP,OMLT,"]1,1   5]",MBI GLOBAL,QUOTIDIENNE,FGP,MIXTE,0.02,0.01,0.02,BANK OF AFRICA,BMCE CAPITAL GESTION; BANK OF AFRICA,1126220.48,1126.22,0.00226,0.000791,0.001485,-0.00016,0.006299,0.002457,0.011396,-,-,-,2026-06-29,Quotidienne
MA0000039281,3928,BMCI PREMIUM SHORT BOND DIST,CIH CAPITAL MANAGEMENT,FCP,OCT,"]0,5  1,1]",MBI CT,QUOTIDIENNE,FGP,DISTRIBUANT,0.0,0.0,0.02,BMCI,CIH CAPITAL MANAGEMENT,4965287.96,133.72,0.009817,0.00015,0.000299,0.001348,0.007004,0.009894,0.019985,0.058224,0.09649,0.129787,2026-06-29,Quotidienne
MA0000039315,3931,CFG OPPORTUNITÉS,CFG GESTION,FCP,DIVERSIFIÉ,-,70% MBI GLOBAL + 30% MASI,QUOTIDIENNE,FGP,MIXTE,0.03,0.015,0.02,CFG BANK,CFG GESTION; CFG BANK,96924126.350254,1238.79,0.029203,-5.7e-05,0.001212,-0.001169,0.032076,0.015119,0.036601,-,-,-,2026-06-29,Quotidienne
MA0000039323,3932,CFG Diversifié,CFG GESTION,FCP,DIVERSIFIÉ,-,80% MBI GLOBAL + 20% MASI RN,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.015,0.02,CFG BANK,CFG GESTION; CFG BANK,92048739.153062,1185.68,-0.040153,0.000152,-0.010044,-0.026487,0.03266,-0.049128,-0.015306,0.096015,0.147403,-,2026-06-29,Quotidienne
MA0000039331,3933,UPLINE CROISSANCE,UPLINE CAPITAL MANAGEMENT,FCP,DIVERSIFIÉ,-,70% MBI + 30% MASI RB,QUOTIDIENNE,FNPP,MIXTE,0.0,0.0,0.02,BCP,UPLINE CAPITAL MANAGEMENT,1092716.82,1092.72,-0.017391,0.001054,0.002008,-0.001562,0.008072,-0.018336,0.00244,0.0548,0.083403,-,2026-06-29,Quotidienne
MA0000039356,3935,FCP EMERGENCE PATRIMOINE,VALORIS MANAGEMENT,FCP,DIVERSIFIÉ,-,80% MBI GLOBAL + 20% MASI RB,QUOTIDIENNE,FNPP,CAPITALISANT,0.0,0.0,0.02,BANK OF AFRICA,VALORIS MANAGEMENT,859399.0,176.35,-0.028375,-0.002094,-0.002037,-0.005246,0.008463,-0.036339,-0.009826,0.261987,0.357269,-,2026-06-29,Quotidienne
